vx,vy,wz
6.852249342240705103e-04,6.474601933256742740e-05,2.366095625819056650e-02
3.324589647591778569e-03,5.131420840866203308e-04,2.574629767825920360e-02
4.286494439817822855e-03,-2.579548838950015445e-03,8.064984386434947278e-03
-4.763386359035281636e-04,-8.664972703347454015e-04,6.549250784202528819e-03
-1.901920153750470124e-03,4.345994413169837478e-04,5.308300157814730639e-04
-1.459596035314366302e-03,4.407576742099590292e-04,1.758015042109045125e-03
-1.224573061497648621e-03,-2.233508268588186999e-04,3.647964978730365484e-04
1.696889530250064379e-04,-2.421143012778533389e-04,-1.802167838007154906e-04
-8.962495886973999683e-04,5.366787241152209779e-04,1.184808154492133581e-03
-8.942775755025692821e-04,6.306269418269810044e-04,6.750308997105752135e-04
9.418536645003041568e-05,2.324901239566378331e-04,-4.041489410521854030e-04
-1.341556219642422564e-03,1.579273781269912007e-03,1.316715047787166354e-03
-1.359690808237355285e-03,2.337096676508073831e-04,9.067213791201936615e-04
6.929546430373616055e-04,3.536211695024221702e-04,-2.558844644359291190e-04
3.030583061574931673e-04,6.267376057384919583e-05,-2.268780855223096577e-04
1.264721376861998757e-04,-5.627063692199340617e-05,8.058503105688324692e-04
1.765763896291021871e-04,-5.594215042083923190e-04,7.072087885030067800e-04
4.238279296738256541e-04,-5.163721860884282720e-04,6.825145844857610647e-04
4.871685537128706478e-04,3.989633696213738812e-04,-3.297286977108719857e-04
1.152180517207837367e-03,-1.657202428746023257e-04,1.355396124576934791e-04
7.501442381707290217e-04,-1.497974020790565890e-04,7.259898360270650858e-04
-5.965446450724974387e-04,5.589064200495722786e-05,-2.875523114916221559e-04
-2.182372855988466871e-03,1.242330489616790185e-04,-7.632406921258505462e-05
8.797788132811093465e-04,3.469147833038303602e-04,-6.091465685091892405e-04
8.763425265082344781e-04,7.073543550598902253e-04,8.561750125779996577e-04
1.584935950057229925e-03,-6.705696078192650627e-04,-4.616863263765897058e-04
-9.517081577236261546e-04,3.712618555273855970e-04,8.902162988614464303e-04
-9.861610434312353263e-04,2.415247606676024878e-04,-2.449339222122704374e-04
-1.201626909621610582e-03,-7.857030339864219621e-06,5.660297931232793033e-04
-1.142039531216482119e-03,2.818534385644477108e-04,-7.325143700069648191e-04
5.557896322214351441e-04,-3.645233055942755313e-04,-1.175674702663316237e-03
7.114902682591896623e-04,-1.618791975782311193e-04,1.217373331917916655e-04
6.423269742337906754e-04,6.198868905430343287e-05,3.562281528076075964e-04
9.408423295573420300e-04,4.789859734093754253e-04,4.940577844401519442e-04
9.396697034689414831e-04,6.206218206865719974e-04,-1.197892706030847815e-03
-2.533522769493991943e-05,-5.045639015139973243e-04,7.322316081360162252e-04
-2.552095250850634379e-05,-2.076881229282339790e-04,-7.742588128394943883e-04
3.899554409337833440e-04,-1.919876546506920441e-04,3.593672428719984764e-04
-1.333615246460853046e-03,-2.513913095813740512e-04,-3.956805192531033576e-05
-2.772099484645350960e-04,4.891273584324874746e-04,-1.562235086231854374e-04
-1.791321343071115260e-04,6.047089866172520060e-04,-1.903211393932221129e-04
2.489534488144217166e-04,2.089123969042559433e-04,1.205858035865797718e-03
1.213219602294803468e-04,-3.479520806085388378e-04,-1.337048218463811572e-04
-1.326110905534530634e-04,-6.447844781186958104e-04,-4.150524570103245048e-04
4.089725358811775540e-04,-7.149603677173550992e-04,-7.149245240514653368e-05
4.110309645708901203e-04,-1.303878117259547409e-03,2.215725373602198643e-04
9.464100325342983486e-04,-1.333420686412345240e-03,2.180732466138812233e-04
5.260789554701012860e-04,-7.850448751057502754e-04,-1.594867538503596562e-04
-9.040328364332459420e-04,-8.601337056397470593e-04,-1.159947326401434187e-04
-3.823427915675465692e-04,2.113424814545127560e-03,5.888138406155631489e-04
-3.822559061291172879e-04,-1.280098660177115578e-03,-5.781046837736359854e-04
