e_vx,e_vy,e_wz,vx,vy,vz,ax,ay,az,qd1,qd3
3.7558e-05,-0.000246537,0.0783494,0.000684601,7.27505e-05,0.0018362,-0.00845705,0.00755864,0.023661,-0.125613,0.251227
-0.0530075,-0.00977605,-0.079031,0.0033205,0.000541245,0.00183564,-0.00845705,0.00755864,0.0257464,0,0.125613
-0.0565335,-0.00979294,-0.0822128,0.00430592,-0.00254402,0.00184038,-0.00845705,0.00755864,0.00806498,0,0.125613
0.0473994,-0.00592805,-0.0993209,-0.000469833,-0.000867316,0.00183755,-0.00845705,0.00755864,0.00654925,-0.125613,0
0.401564,-0.000626013,0.0035808,-0.0019053,0.000422881,0.00183551,-0.00845705,0.00755864,0.000530832,0,0
0.40091,-0.000621157,0.00480558,-0.00146301,0.000432404,0.00183552,-0.00845705,0.00755864,0.001758,0,0
0.402982,-0.00109517,0.0049226,-0.00122295,-0.000229879,0.00183654,-0.00845705,0.00755864,0.000364795,0,0
0.400423,0.000247131,0.00569282,0.000171418,-0.000238029,0.00183664,-0.00845705,0.00755864,-0.000180217,0,0
0.401402,0.000487735,0.00817628,-0.000900423,0.000532618,0.0018354,-0.00845705,0.00755864,0.00118481,0,0
0.0458865,-0.00552016,-0.0939302,-0.000899172,0.000626582,0.00183526,-0.00845705,0.00755864,0.000675033,-0.100466,0
0.399101,0.00123238,0.00582658,9.2301e-05,0.000235981,0.00183591,-0.00845705,0.00755864,-0.000404152,0,0
0.401482,-0.000279973,0.00703017,-0.00135364,0.00157177,0.0018338,-0.00845705,0.00755864,0.0013167,0,0
0.403733,-0.00127247,0.00586483,-0.00136155,0.000226111,0.00183584,-0.00845705,0.00755864,0.000906716,0,0
0.401243,-0.000141672,0.00523493,0.000690129,0.000361675,0.00183576,-0.00845705,0.00755864,-0.000255884,0,0
0.400947,-0.00151212,0.00713158,0.000302464,6.77673e-05,0.00183618,-0.00845705,0.00755864,-0.000226878,0,0
0.400737,-0.00194847,0.00414629,0.000126787,-5.25203e-05,0.00183635,-0.00845705,0.00755864,0.000805853,0,0
0.401476,-0.00158255,0.0100594,0.000180724,-0.000555276,0.00183712,-0.00845705,0.00755864,0.00070721,0,0
0.401052,0.000511109,0.00235408,0.00042763,-0.000510351,0.00183706,-0.00845705,0.00755864,0.000682538,0,0
0.401448,-0.00120109,0.00312985,0.000484008,0.00040545,0.00183568,-0.00845705,0.00755864,-0.000329734,0,0
0.385566,-0.00150649,0.00709937,0.0011533,-0.000154151,0.00183657,-0.00845705,0.00755864,0.00013554,0,0
0.399841,-0.000123065,0.00718073,0.000751149,-0.000141292,0.00183652,-0.00845705,0.00755864,0.000725985,0,0
0.399545,0.000628732,0.00330421,-0.000597067,5.4128e-05,0.00183615,-0.00845705,0.00755864,-0.000287558,0,0
